Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16694724k(7917684k free), swap 37666244k(16739252k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T20:37:41.615+0800: 0.554: [Full GC (Ergonomics) [PSYoungGen: 29695K->29311K(58368K)] [ParOldGen: 174572K->174396K(175104K)] 204268K->203708K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0040137 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.620+0800: 0.558: [Full GC (Ergonomics) [PSYoungGen: 29595K->29311K(58368K)] [ParOldGen: 174396K->174396K(175104K)] 203992K->203708K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0014056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.621+0800: 0.559: [Full GC (Ergonomics) [PSYoungGen: 29650K->29347K(58368K)] [ParOldGen: 174396K->174396K(175104K)] 204047K->203744K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0012395 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.623+0800: 0.561: [Full GC (Ergonomics) [PSYoungGen: 29588K->29455K(58368K)] [ParOldGen: 174396K->174396K(175104K)] 203985K->203852K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0011915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.624+0800: 0.562: [Full GC (Ergonomics) [PSYoungGen: 29661K->29311K(58368K)] [ParOldGen: 174886K->174396K(175104K)] 204547K->203708K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0011302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.625+0800: 0.563: [Full GC (Ergonomics) [PSYoungGen: 29688K->29654K(58368K)] [ParOldGen: 174396K->174396K(175104K)] 204084K->204051K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0011386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.626+0800: 0.565: [Full GC (Ergonomics) [PSYoungGen: 29672K->29663K(58368K)] [ParOldGen: 174396K->174396K(175104K)] 204069K->204060K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0011271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.628+0800: 0.566: [Full GC (Ergonomics) [PSYoungGen: 29686K->29654K(58368K)] [ParOldGen: 175096K->174396K(175104K)] 204783K->204051K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0011288 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.629+0800: 0.567: [Full GC (Ergonomics) [PSYoungGen: 29672K->29663K(58368K)] [ParOldGen: 174396K->174396K(175104K)] 204069K->204060K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0011111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T20:37:41.630+0800: 0.568: [Full GC (Ergonomics) [PSYoungGen: 29686K->29645K(58368K)] [ParOldGen: 174974K->174701K(175104K)] 204660K->204347K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0011762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
